play_session_key,user_id,start_datetime,end_datetime,channel_code,status_code,total_score,start_datetime_date_key,end_datetime_date_key,channel_key,status_key,duration_minutes
0,309,2024-12-11 12:26:22.670000-06:00,2024-12-11 17:01:22.670000-06:00,BROWSER,COMPLETED,1081,20241211,20241211,1,1,275.0
1,179,2024-02-13 15:51:16.919000-06:00,2024-02-13 22:17:16.919000-06:00,MOBILE,ABORTED,4271,20240213,20240213,2,2,386.0
2,314,2024-08-21 10:56:25.744000-06:00,2024-08-21 15:17:25.744000-06:00,BROWSER,TIMEOUT,2634,20240821,20240821,1,3,261.0
3,492,2024-03-27 01:46:36.925000-06:00,2024-03-27 10:05:36.925000-06:00,MOBILE,ABORTED,3082,20240327,20240327,2,2,499.0
4,369,2024-08-25 22:29:23.179000-06:00,2024-08-26 00:54:23.179000-06:00,MOBILE,TIMEOUT,3995,20240825,20240826,2,3,145.0
5,59,2024-04-27 16:37:13.057000-06:00,2024-04-27 23:33:13.057000-06:00,MOBILE,TIMEOUT,3025,20240427,20240427,2,3,416.0
6,408,2024-12-15 19:41:46.635000-06:00,2024-12-16 02:26:46.635000-06:00,BROWSER,TIMEOUT,1295,20241215,20241216,1,3,405.0
7,358,2024-01-04 00:02:03.341000-06:00,2024-01-04 08:28:03.341000-06:00,MOBILE,ABORTED,154,20240104,20240104,2,2,506.0
8,391,2024-06-10 01:46:47.635000-06:00,2024-06-10 06:05:47.635000-06:00,MOBILE,ABORTED,255,20240610,20240610,2,2,259.0
9,360,2024-11-23 15:50:37.399000-06:00,2024-11-23 22:32:37.399000-06:00,MOBILE,TIMEOUT,2719,20241123,20241123,2,3,402.0
10,326,2024-10-02 17:07:20.528000-06:00,2024-10-02 19:58:20.528000-06:00,BROWSER,COMPLETED,730,20241002,20241002,1,1,171.0
11,431,2024-01-15 07:54:04.663000-06:00,2024-01-15 14:50:04.663000-06:00,MOBILE,TIMEOUT,4976,20240115,20240115,2,3,416.0
12,55,2024-12-08 02:01:05.524000-06:00,2024-12-08 05:05:05.524000-06:00,BROWSER,TIMEOUT,3892,20241208,20241208,1,3,184.0
13,62,2024-04-16 14:53:00.976000-06:00,2024-04-16 15:09:00.976000-06:00,MOBILE,TIMEOUT,3661,20240416,20240416,2,3,16.0
14,331,2024-01-26 19:20:26.408000-06:00,2024-01-26 23:23:26.408000-06:00,MOBILE,COMPLETED,168,20240126,20240126,2,1,243.0
15,201,2024-10-15 07:49:44.134000-06:00,2024-10-15 15:42:44.134000-06:00,MOBILE,TIMEOUT,3211,20241015,20241015,2,3,473.0
16,181,2024-08-19 10:01:17.003000-06:00,2024-08-19 12:41:17.003000-06:00,MOBILE,TIMEOUT,1154,20240819,20240819,2,3,160.0
17,205,2024-05-22 14:02:50.549000-06:00,2024-05-22 18:07:50.549000-06:00,BROWSER,TIMEOUT,3564,20240522,20240522,1,3,245.0
18,395,2024-09-11 01:21:13.873000-06:00,2024-09-11 09:05:13.873000-06:00,MOBILE,TIMEOUT,1015,20240911,20240911,2,3,464.0
19,101,2024-04-30 20:12:04.051000-06:00,2024-05-01 04:06:04.051000-06:00,BROWSER,COMPLETED,1856,20240430,20240501,1,1,474.0
20,178,2024-01-12 11:49:43.814000-06:00,2024-01-12 19:45:43.814000-06:00,BROWSER,ABORTED,4977,20240112,20240112,1,2,476.0
21,305,2024-03-03 10:31:28.212000-06:00,2024-03-03 15:44:28.212000-06:00,BROWSER,COMPLETED,2542,20240303,20240303,1,1,313.0
22,261,2024-10-23 19:19:05.986000-06:00,2024-10-23 19:56:05.986000-06:00,MOBILE,TIMEOUT,4379,20241023,20241023,2,3,37.0
23,100,2024-02-17 14:54:32.328000-06:00,2024-02-17 21:10:32.328000-06:00,BROWSER,TIMEOUT,3643,20240217,20240217,1,3,376.0
24,173,2024-10-25 15:57:06.985000-06:00,2024-10-25 23:28:06.985000-06:00,MOBILE,ABORTED,761,20241025,20241025,2,2,451.0
25,66,2024-09-24 19:13:34.052000-06:00,2024-09-24 21:16:34.052000-06:00,BROWSER,COMPLETED,4793,20240924,20240924,1,1,123.0
26,252,2024-10-27 02:53:12.477000-06:00,2024-10-27 05:05:12.477000-06:00,BROWSER,TIMEOUT,1062,20241027,20241027,1,3,132.0
27,251,2024-01-24 12:32:13.510000-06:00,2024-01-24 13:22:13.510000-06:00,MOBILE,COMPLETED,235,20240124,20240124,2,1,50.0
28,105,2024-09-17 19:18:42.706000-06:00,2024-09-18 05:16:42.706000-06:00,MOBILE,ABORTED,4883,20240917,20240918,2,2,598.0
29,339,2024-12-20 09:22:19.560000-06:00,2024-12-20 09:33:19.560000-06:00,MOBILE,COMPLETED,680,20241220,20241220,2,1,11.0
30,306,2024-09-24 11:29:45.131000-06:00,2024-09-24 20:35:45.131000-06:00,BROWSER,COMPLETED,1825,20240924,20240924,1,1,546.0
31,287,2024-03-04 13:45:54.829000-06:00,2024-03-04 22:00:54.829000-06:00,MOBILE,TIMEOUT,2127,20240304,20240304,2,3,495.0
32,225,2024-06-18 09:19:02.225000-06:00,2024-06-18 15:36:02.225000-06:00,MOBILE,ABORTED,696,20240618,20240618,2,2,377.0
33,366,2024-06-29 21:50:16.268000-06:00,2024-06-29 23:45:16.268000-06:00,BROWSER,TIMEOUT,3614,20240629,20240629,1,3,115.0
34,391,2024-10-07 15:38:27.417000-06:00,2024-10-07 20:46:27.417000-06:00,MOBILE,TIMEOUT,2464,20241007,20241007,2,3,308.0
35,484,2024-07-03 05:53:55.400000-06:00,2024-07-03 14:51:55.400000-06:00,BROWSER,COMPLETED,2352,20240703,20240703,1,1,538.0
36,343,2024-11-11 23:24:40.268000-06:00,2024-11-12 07:37:40.268000-06:00,BROWSER,COMPLETED,872,20241111,20241112,1,1,493.0
37,145,2024-12-22 02:51:39.212000-06:00,2024-12-22 08:19:39.212000-06:00,BROWSER,COMPLETED,4952,20241222,20241222,1,1,328.0
38,132,2024-08-01 13:18:29.334000-06:00,2024-08-01 18:12:29.334000-06:00,BROWSER,COMPLETED,3750,20240801,20240801,1,1,294.0
39,156,2024-11-21 06:08:33.562000-06:00,2024-11-21 08:44:33.562000-06:00,MOBILE,ABORTED,2273,20241121,20241121,2,2,156.0
40,25,2024-07-26 07:37:23.338000-06:00,2024-07-26 11:51:23.338000-06:00,BROWSER,COMPLETED,2081,20240726,20240726,1,1,254.0
41,266,2024-10-04 01:28:12.772000-06:00,2024-10-04 09:06:12.772000-06:00,MOBILE,TIMEOUT,2909,20241004,20241004,2,3,458.0
42,293,2024-03-29 07:49:20.432000-06:00,2024-03-29 16:12:20.432000-06:00,MOBILE,ABORTED,4537,20240329,20240329,2,2,503.0
43,424,2024-02-18 18:19:14.321000-06:00,2024-02-18 20:19:14.321000-06:00,MOBILE,TIMEOUT,4630,20240218,20240218,2,3,120.0
44,319,2024-07-12 08:33:47.505000-06:00,2024-07-12 17:57:47.505000-06:00,MOBILE,TIMEOUT,3985,20240712,20240712,2,3,564.0
45,183,2024-11-12 10:12:42.985000-06:00,2024-11-12 13:59:42.985000-06:00,BROWSER,ABORTED,1128,20241112,20241112,1,2,227.0
46,301,2024-02-10 13:38:00.583000-06:00,2024-02-10 20:08:00.583000-06:00,BROWSER,COMPLETED,2385,20240210,20240210,1,1,390.0
47,440,2024-06-12 19:16:59.881000-06:00,2024-06-13 00:19:59.881000-06:00,BROWSER,COMPLETED,4494,20240612,20240613,1,1,303.0
48,398,2024-04-30 14:32:46.112000-06:00,2024-04-30 19:42:46.112000-06:00,MOBILE,TIMEOUT,4080,20240430,20240430,2,3,310.0
49,132,2024-12-29 23:07:45.409000-06:00,2024-12-30 03:03:45.409000-06:00,MOBILE,COMPLETED,2469,20241229,20241230,2,1,236.0
